customerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Call Duration,Data Usage
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,48,4748
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Monthly,No,Credit card (automatic),55.2,528.35,Yes,32,4052
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Monthly,Yes,Manual,90.05,1862.9,No,7,3195
8779-QRDMV,Male,1,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Monthly,Yes,Manual,39.65,39.65,Yes,9,1209
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No,6,2997
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,20.15,20.15,Yes,45,102
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,8,553
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Monthly,No,Credit card (automatic),59.6,2970.3,No,51,2727
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Monthly,Yes,Bank transfer (automatic),55.3,1530.6,No,37,627
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,99.35,4749.15,Yes,27,3283
8665-UTDHZ,Male,0,Yes,Yes,1,No,No,DSL,No,Yes,No,No,No,No,Monthly,No,Manual,30.2,30.2,Yes,39,2767
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,2,1336
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,64.7,1093.1,Yes,53,1559
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,17,1773
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),95.5,181.65,No,29,2615
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Manual,66.15,1874.45,No,43,532
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),20.2,20.2,No,39,3632
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),45.25,45.25,No,18,3899
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,47,1176
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,69.7,316.9,Yes,40,4761
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Monthly,Yes,Credit card (automatic),74.8,3548.3,No,6,2529
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Manual,106.35,3549.25,Yes,12,1414
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),97.85,1105.4,Yes,11,3193
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Manual,49.55,475.7,No,12,4854
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,25,4224
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No,No,No,No,No,No,One year,No,Manual,20.75,418.25,No,50,1795
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,54,3429
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Monthly,Yes,Manual,76.2,981.45,No,34,3417
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Manual,84.5,3906.7,No,22,3382
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Monthly,No,Manual,49.25,97,No,40,1207
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,80.65,144.15,Yes,36,4740
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,59,2789
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,30,2639
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Manual,90.25,3838.75,No,60,2241
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),99.1,1426.4,Yes,16,3016
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Monthly,Yes,Credit card (automatic),69.5,1752.65,No,40,3066
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Monthly,Yes,Credit card (automatic),80.65,633.3,Yes,14,1497
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,20,2080
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,95.45,1752.55,Yes,31,4998
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,24,1298
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Manual,108.45,7076.35,No,13,2336
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.95,894.3,No,25,2917
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,51,615
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Manual,100.5,4707.1,No,8,3559
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),89.9,5450.7,No,51,2304
0526-SXDJP,Male,0,Yes,No,72,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,17,1488
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,15,831
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Monthly,No,Manual,94.4,857.25,Yes,7,187
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Monthly,Yes,Manual,75.3,244.1,No,17,2431
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Manual,78.9,3650.35,No,41,3044
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Manual,79.2,2497.2,No,14,2783
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No,59,1764
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Monthly,Yes,Manual,79.85,887.35,No,31,2304
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Monthly,No,Manual,49.05,49.05,No,30,1570
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Manual,20.4,1090.65,No,27,3249
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,33,645
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,31,4744
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Monthly,Yes,Bank transfer (automatic),64.5,177.4,No,44,3340
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Manual,110.5,6139.5,No,50,1440
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,60,3696
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Monthly,No,Manual,54.65,482.25,No,49,4610
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,74.75,2111.3,No,15,657
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.9,1216.6,No,5,1589
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,79.35,79.35,Yes,27,1208
8108-UXRQN,Female,0,Yes,Yes,11,No,No,DSL,Yes,No,No,No,Yes,Yes,Monthly,No,Manual,50.55,565.35,No,28,3610
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Monthly,Yes,Bank transfer (automatic),75.15,496.9,Yes,56,462
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Monthly,Yes,Bank transfer (automatic),103.8,4327.5,No,38,4617
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,26,2887
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),99.3,918.75,No,31,156
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,49,3453
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.65,1057,No,50,4957
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Manual,19.95,927.1,No,55,129
3016-KSVCP,Male,0,Yes,No,29,No,No,DSL,No,No,No,No,Yes,No,Monthly,No,Manual,33.75,1009.25,No,20,1051
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Monthly,No,Bank transfer (automatic),82.05,2570.2,No,45,4181
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Monthly,No,Manual,74.7,74.7,No,23,2896
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Manual,84.0,5714.25,No,6,556
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),111.05,7107,No,43,1589
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,2,2617
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Manual,78.95,927.35,Yes,10,3563
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,8,2560
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,21.05,113.85,Yes,42,1955
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,No,58,667
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Manual,98.5,2514.5,Yes,55,967
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,20.2,20.2,No,1,850
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,19.45,19.45,No,47,4251
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,34,3009
5386-THSLQ,Female,1,Yes,No,66,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,58,4634
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,3,2235
6180-YBIQI,Male,0,No,No,5,No,No,DSL,No,No,No,No,No,No,Monthly,No,Manual,24.3,100.2,No,7,1394
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Manual,104.15,7303.05,No,14,4650
9750-BOOHV,Female,0,No,No,32,No,No,DSL,Yes,No,No,No,No,No,One year,No,Manual,30.15,927.65,No,13,1899
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Manual,94.35,3921.3,No,33,1781
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.4,1363.25,No,32,4936
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Monthly,Yes,Manual,96.75,5238.9,Yes,39,1997
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,27,1763
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Monthly,Yes,Manual,91.65,3954.1,No,33,192
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,76.5,2868.15,Yes,30,469
5256-SKJGO,Female,0,Yes,Yes,64,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Manual,54.6,3423.5,No,33,2433
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Monthly,No,Manual,89.85,248.4,No,4,2193
9560-BBZXK,Female,0,No,No,36,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,40,729
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Monthly,Yes,Manual,100.25,1064.65,Yes,38,4483
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No,No,No,No,No,No,Two year,No,Manual,20.65,835.15,No,50,1675
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Monthly,Yes,Credit card (automatic),85.2,2151.6,No,33,2787
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,44,2200
2928-HLDBA,Female,0,No,No,6,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,20.7,112.75,No,56,3400
0404-SWRVG,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,74.4,229.55,Yes,19,2762
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Monthly,No,Manual,50.7,350.35,No,52,2725
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,20.85,62.9,No,42,1018
4622-YNKIJ,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Manual,88.95,3027.65,No,20,967
4412-YLTKF,Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Monthly,Yes,Manual,78.05,2135.5,Yes,31,2193
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,1,3479
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,19.75,19.75,No,3,1966
2639-UGMAZ,Male,1,No,No,71,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Manual,56.45,3985.35,No,38,3848
2876-GZYZC,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Manual,85.95,1215.65,No,60,4195
6207-WIOLX,Female,0,Yes,Yes,25,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),58.6,1502.65,Yes,23,3334
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,No,44,845
3091-FYHKI,Male,0,No,No,1,No,No,DSL,No,No,No,No,No,Yes,Monthly,Yes,Manual,35.45,35.45,Yes,9,496
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Monthly,No,Manual,44.35,81.25,Yes,57,3901
7799-LGRDP,Female,0,No,No,43,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),25.7,1188.2,No,23,3088
7850-VWJUU,Female,0,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),75.0,1778.5,No,44,2505
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No,No,No,No,No,No,No,Two year,No,Manual,20.2,1277.75,No,15,3036
6217-KDYWC,Male,0,No,Yes,57,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Manual,19.6,1170.55,No,45,4853
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,70.45,70.45,Yes,17,665
3146-MSEGF,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No,34,1353
4080-OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Monthly,No,Manual,71.15,563.65,Yes,33,4101
1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No,7,4464
2636-SJDOU,Male,0,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,No,7,1287
1131-QQZEB,Male,1,Yes,No,71,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.95,1756.2,No,17,3995
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,6416.7,No,46,115
6837-BJYDQ,Male,0,No,No,3,Yes,No,No,No,No,No,No,No,No,One year,No,Manual,19.6,61.35,No,26,942
2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthly,Yes,Manual,45.65,45.65,Yes,16,2006
6440-DKQGE,Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,No,60,1759
3466-BYAVD,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Monthly,Yes,Manual,69.5,1071.4,No,13,4042
3780-YVMFA,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Monthly,Yes,Manual,68.55,564.35,No,59,4949
3874-EQOEP,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Monthly,No,Manual,95.0,655.5,Yes,30,4290
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,No,2,1048
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Manual,86.1,5215.25,No,33,1890
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,19.7,113.5,No,39,1007
6551-GNYDG,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Bank transfer (automatic),80.9,1152.8,No,40,2358
9167-APMXZ,Female,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),84.15,1821.95,No,3,4404
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,No,No,No,No,No,No,No,One year,No,Manual,20.15,419.9,No,35,4498
6371-NZYEG,Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Manual,64.25,1024,No,21,2325
7554-NEWDD,Male,0,No,No,10,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.7,251.6,No,12,358
8992-VONJD,Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,No,No,Monthly,Yes,Manual,56.0,764.55,No,35,1808
0867-MKZVY,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Monthly,No,Manual,82.4,1592.35,Yes,40,560
4482-EWFMI,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,69.7,135.2,No,49,594
4648-YPBTM,Male,0,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No,26,735
2907-ILJBN,Female,0,Yes,Yes,11,Yes,No,No,No,No,No,No,No,No,One year,No,Manual,20.6,233.9,No,7,3674
6345-FZOQH,Male,0,Yes,No,69,Yes,No,No,No,No,No,No,No,No,Two year,No,Manual,19.9,1363.45,No,51,1399
3376-BMGFE,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),70.9,273,Yes,10,2453
5997-OPVFA,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,No,44,887
3445-HXXGF,Male,1,Yes,No,58,No,No,DSL,No,Yes,Yes,No,No,Yes,Monthly,Yes,Manual,45.3,2651.2,Yes,21,4212
1159-WFSGR,Female,0,Yes,Yes,16,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,20.4,321.4,No,46,2383
7654-YWJUF,Male,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),84.25,3539.25,No,17,1677
1875-QIVME,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Monthly,Yes,Manual,104.4,242.8,Yes,46,3925
